speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
JSP	i	í	31.359	0.122	329	1926	2632	5500	3.41	12.65	14.74	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	31.842	0.093	343	1918	2644	5500	3.54	12.62	14.77	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	45.679	0.091	413	2041	2683	5500	4.19	13.02	14.87	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	46.626	0.072	468	2167	2645	5500	4.68	13.43	14.78	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	59.588	0.136	417	1935	2755	5500	4.23	12.68	15.05	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	60.271	0.158	341	1984	2732	5500	3.52	12.83	14.98	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	65.671	0.132	362	1847	3144	5500	3.72	12.37	15.95	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	66.451	0.126	344	1857	2801	5500	3.55	12.41	15.16	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	121.319	0.177	455	2173	3424	5500	4.57	13.45	16.54	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	121.843	0.126	344	2116	2763	5500	3.55	13.27	15.06	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	162.784	0.122	428	2105	2605	5500	4.32	13.24	14.67	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	163.317	0.121	387	2070	2615	5500	3.95	13.13	14.70	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	211.094	0.126	367	2094	2953	5500	3.77	13.20	15.53	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	211.655	0.137	339	2158	2652	5500	3.50	13.40	14.80	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	250.039	0.202	429	2124	2624	5500	4.34	13.30	14.73	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	250.718	0.173	386	2107	2467	5500	3.93	13.24	14.31	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	277.631	0.148	329	2033	2618	5500	3.40	13.01	14.71	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	278.351	0.117	297	2028	2594	5500	3.10	12.99	14.64	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	280.736	0.129	358	1954	2361	5500	3.68	12.74	13.99	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	281.593	0.083	291	1971	2410	5500	3.04	12.80	14.14	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	315.619	0.107	334	2162	2833	5500	3.45	13.42	15.23	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	316.177	0.084	381	2104	2557	5500	3.89	13.24	14.54	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	562.823	0.135	426	2140	2605	5500	4.31	13.33	14.65	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	563.304	0.219	323	2146	2683	5500	3.34	13.37	14.88	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	626.469	0.073	439	1966	2372	5500	4.42	12.78	14.04	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	755.362	0.176	393	2224	2861	5500	4.01	13.61	15.26	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	762.170	0.106	345	2102	2833	5500	3.56	13.23	15.24	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	763.125	0.110	288	2164	3148	5500	3.01	13.42	15.95	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	793.544	0.209	324	2094	2717	5500	3.35	13.20	14.95	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	794.470	0.131	266	2126	2351	5500	2.79	13.30	13.98	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	867.270	0.132	405	2322	3194	5500	4.12	13.90	16.06	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	867.965	0.100	333	2266	3066	5500	3.44	13.73	15.78	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	933.450	0.133	357	2124	2907	5500	3.67	13.30	15.42	archi-phon-2006-JSP-2-stops	Auto
JSP	i	í	934.126	0.104	334	2102	2580	5500	3.46	13.23	14.61	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	143.299	0.156	420	2235	3049	5350	4.26	13.64	15.75	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	203.733	0.129	409	1956	2753	5350	4.15	12.75	15.04	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	204.258	0.140	478	2013	2615	5350	4.77	12.94	14.70	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	299.168	0.098	406	1981	2659	5350	4.13	12.83	14.81	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	299.721	0.134	399	1838	2560	5350	4.07	12.34	14.56	archi-phon-2006-JSP-2-stops	Auto
JSP	i	i	386.791	0.213	373	2188	2674	5350	3.82	13.50	14.85	archi-phon-2006-JSP-2-stops	Auto
