speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
JSP	ó	o	0.182	4550	0.517	432	780	2293	4.37	7.11	13.81	8.326	bos 	archi-phon-2006-JSP-2-stops	Auto
JSP	ó	o	0.159	4570	0.105	407	802	2298	4.14	7.26	13.83	8.888	bos 	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.122	5420	0.196	334	1894	2751	3.45	12.54	15.05	31.359	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	ə	ə	0.077	4650	0.035	455	1376	2172	4.57	10.46	13.45	31.513	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	a	a	0.107	5850	0.109	546	1663	2802	5.35	11.68	15.17	31.647	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.093	5800	0.227	284	1924	2886	2.97	12.64	15.37	31.842	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	ə	ə	0.066	5850	0.028	437	1564	2272	4.41	11.28	13.75	31.988	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	a	a	0.109	4650	0.024	542	1460	2366	5.31	10.84	14.02	32.106	žibəla 	archi-phon-2006-JSP-2-stops	Auto
JSP	ó	o	0.203	5130	0.059	479	911	2401	4.78	7.97	14.12	35.730	s̄ob	archi-phon-2006-JSP-2-stops	Auto
JSP	ó	o	0.198	5230	0.038	443	915	2415	4.47	8.00	14.16	36.755	s̄ob	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.209	5290	0.077	607	1336	2623	5.83	10.28	14.72	39.454	nabq	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.141	5450	0.047	682	1337	2567	6.41	10.28	14.58	40.303	nabq	archi-phon-2006-JSP-2-stops	Auto
JSP	ə	ə	0.101	4990	0.076	484	1441	2372	4.82	10.76	14.04	45.395		archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.091	5720	0.091	421	2052	2675	4.27	13.07	14.86	45.679		archi-phon-2006-JSP-2-stops	Auto
JSP	ó	o	0.138	5550	0.134	552	1148	2726	5.39	9.34	14.99	45.897		archi-phon-2006-JSP-2-stops	Auto
JSP	ə	ə	0.084	5370	0.057	426	1342	2278	4.31	10.30	13.77	46.399		archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.072	5960	0.031	461	2179	2824	4.62	13.47	15.23	46.626		archi-phon-2006-JSP-2-stops	Auto
JSP	ó	o	0.147	4350	0.199	471	1147	2220	4.71	9.33	13.60	46.808		archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.151	5410	0.012	662	1228	2732	6.26	9.75	15.00	50.611	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.113	4530	0.036	399	1090	2253	4.06	9.03	13.69	50.900	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	a	a	0.125	5670	0.333	626	1356	2582	5.98	10.37	14.62	51.088	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.113	5730	0.077	661	1319	2579	6.25	10.19	14.61	51.322	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.091	4990	0.040	368	1169	2256	3.78	9.45	13.70	51.584	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	a	a	0.167	4710	0.088	501	1276	2329	4.97	9.99	13.92	51.745	aχbəzan	archi-phon-2006-JSP-2-stops	Auto
JSP	áˤ	a	0.257	4610	0.156	651	1334	2042	6.18	10.27	13.03	54.727	baˤri	archi-phon-2006-JSP-2-stops	Auto
JSP	iˤ	i	0.193	5040	0.054	369	2043	2556	3.78	13.04	14.55	55.130	baˤri	archi-phon-2006-JSP-2-stops	Auto
JSP	áˤ	a	0.233	4850	0.052	587	1352	2003	5.68	10.35	12.91	55.568	baˤri	archi-phon-2006-JSP-2-stops	Auto
JSP	iˤ	i	0.230	5940	0.136	402	1863	2565	4.09	12.43	14.57	55.846	baˤri	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.136	5560	0.077	426	1924	2857	4.31	12.64	15.30	59.588	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.120	4690	0.173	374	1049	2199	3.83	8.79	13.53	60.014	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.157	6600	0.406	339	2111	3479	3.50	13.26	16.66	60.271	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.114	4250	0.047	374	853	2079	3.84	7.60	13.15	60.685	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.132	6020	0.113	364	1883	3185	3.74	12.50	16.05	65.671	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	è	e	0.141	6350	0.179	543	1982	4163	5.32	12.84	17.89	66.036	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	í	i	0.126	6120	0.081	344	1889	3035	3.55	12.52	15.72	66.451	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	è	e	0.146	5710	0.030	447	1746	2319	4.50	12.00	13.89	66.810	libχˤ-kes	archi-phon-2006-JSP-2-stops	Auto
JSP	e	e	0.069	6050	0.360	448	1977	2776	4.50	12.82	15.11	75.542	gerbec	archi-phon-2006-JSP-2-stops	Auto
JSP	é	e	0.167	5470	0.032	479	1866	2480	4.77	12.44	14.34	75.779	gerbec	archi-phon-2006-JSP-2-stops	Auto
JSP	e	e	0.098	6230	0.101	278	2159	3580	2.91	13.41	16.85	76.314	gerbec	archi-phon-2006-JSP-2-stops	Auto
JSP	é	e	0.165	5570	0.010	386	1872	2474	3.95	12.46	14.33	76.557	gerbec	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.235	5850	0.167	584	1384	2970	5.66	10.50	15.57	93.492	panqʼ	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.131	5810	0.063	603	1360	2932	5.80	10.39	15.48	94.143	panqʼ	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.070	4690	0.062	375	830	2182	3.84	7.45	13.48	104.157	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.136	5450	0.044	661	1329	2465	6.25	10.25	14.30	104.337	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.080	5310	0.044	391	815	2575	3.99	7.35	14.60	105.430	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.152	5630	0.391	661	1353	2711	6.25	10.36	14.95	105.623	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	u	u	0.081	4870	0.076	354	813	2171	3.64	7.33	13.44	105.985	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.151	5630	0.097	644	1283	2406	6.13	10.02	14.14	106.135	kupar	archi-phon-2006-JSP-2-stops	Auto
JSP	á	a	0.240	5610	0.211	637	1187	2629	6.07	9.54	14.74	114.710	qip	archi-phon-2006-JSP-2-stops	Auto
