speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk
HDK	i	í	5.790	0.216	446	1855	3479	5700	4.48	11.08	16.59
HDK	i	ĩ́	7.232	0.184	450	2530	3604	5700	4.52	13.76	16.87
HDK	i	í	9.710	0.197	464	2978	3387	5700	4.65	15.59	16.47
HDK	i	í	10.982	0.196	440	2844	3330	5700	4.43	15.27	16.35
HDK	i	i	13.350	0.108	504	2536	3004	5700	4.99	14.48	15.61
HDK	i	í	13.539	0.226	433	2856	3433	5700	4.37	15.30	16.55
HDK	i	í	14.643	0.193	425	2727	3219	5700	4.30	14.98	16.12
HDK	i	i	20.776	0.157	420	2916	2985	5700	4.25	15.44	15.60
HDK	i	i	21.888	0.149	415	2722	2960	5700	4.21	14.97	15.55
HDK	i	i	24.407	0.118	480	2762	3329	5700	4.78	15.07	16.35
HDK	i	i	25.683	0.108	451	2100	3336	5700	4.53	12.73	16.29
HDK	i	íː	28.369	0.276	372	3007	3710	5700	3.82	15.65	17.09
HDK	i	íː	29.596	0.265	395	2909	3633	5700	4.03	15.43	16.92
HDK	i	íː	34.168	0.264	394	3014	3777	5700	4.02	15.67	17.22
HDK	i	íː	35.502	0.245	387	2737	3667	5700	3.95	14.93	16.97
HDK	i	íː	40.527	0.321	390	2652	3088	5700	3.98	14.73	15.83
HDK	i	i	41.028	0.136	407	2916	3183	5700	4.13	15.44	16.04
HDK	i	íː	41.765	0.271	413	2496	3148	5700	4.19	14.33	15.94
HDK	i	i	42.194	0.142	418	2761	3358	5700	4.24	15.05	16.39
HDK	i	i	44.859	0.127	441	2831	3354	5700	4.45	15.24	16.40
HDK	i	i	45.996	0.116	446	2839	3276	5700	4.49	15.26	16.24
HDK	i	i	54.399	0.119	414	2594	3050	5700	4.20	14.65	15.75
HDK	i	i	55.836	0.085	409	2533	3009	5700	4.16	14.47	15.66
HDK	i	í	145.347	0.177	410	2895	3308	5700	4.16	15.39	16.31
HDK	i	í	146.391	0.183	464	2864	3138	5700	4.65	15.32	15.94
HDK	i	i	177.067	0.073	418	2824	3365	5700	4.24	15.22	16.43
HDK	i	i	191.897	0.058	495	2597	3282	5700	4.92	14.65	16.25
HDK	i	i	193.298	0.074	420	2789	3278	5700	4.25	15.14	16.24
HDK	i	i	194.453	0.092	446	2858	3479	5700	4.49	15.31	16.65
HDK	i	í	237.590	0.157	467	2859	3285	5700	4.68	15.31	16.26
HDK	i	í	238.469	0.186	506	2851	3313	5700	5.01	15.29	16.32
HDK	i	íː	266.333	0.328	344	2917	3111	5700	3.55	15.44	15.88
HDK	i	íː	267.545	0.313	333	3033	3221	5700	3.45	15.71	16.12
HDK	i	i	270.881	0.096	478	2703	3331	5700	4.77	14.92	16.35
HDK	i	i	272.133	0.074	525	2445	3291	5700	5.17	14.24	16.27
HDK	i	i	273.898	0.106	474	2694	3041	5700	4.73	14.90	15.73
HDK	i	i	277.472	0.139	425	2917	3196	5700	4.30	15.45	16.07
HDK	i	i	278.773	0.119	467	2754	3097	5700	4.67	15.05	15.85
HDK	i	i	309.607	0.201	526	2662	3395	5700	5.18	14.82	16.49
HDK	i	i	310.846	0.202	476	2750	3164	5700	4.75	15.04	15.99
HDK	i	i	313.645	0.158	462	2764	3070	5700	4.63	15.08	15.80
HDK	i	i	314.698	0.162	451	2772	3119	5700	4.53	15.10	15.90
HDK	i	i	390.593	0.247	473	2762	3391	5700	4.72	15.07	16.48
HDK	i	i	391.449	0.263	491	2774	3176	5700	4.88	15.10	16.03
HDK	i	i	395.424	0.097	384	2709	3063	5700	3.93	14.94	15.78
HDK	i	i	396.222	0.220	417	2747	3232	5700	4.23	15.03	16.14
HDK	i	i	397.315	0.103	375	2705	3294	5700	3.84	14.93	16.28
HDK	i	i	398.069	0.206	472	2620	3247	5700	4.71	14.71	16.18
HDK	i	i	402.710	0.164	489	2469	3019	5700	4.87	14.31	15.68
HDK	i	i	404.150	0.175	498	2475	3020	5700	4.94	14.33	15.68
HDK	i	í	409.304	0.229	339	2939	3515	5700	3.50	15.50	16.73
HDK	i	í	410.607	0.248	362	2953	3399	5700	3.72	15.53	16.49
HDK	i	í	413.372	0.450	337	2976	3511	5700	3.48	15.58	16.71
HDK	i	í	414.512	0.358	344	2961	3500	5700	3.55	15.55	16.69
HDK	i	ĩ́	417.033	0.267	374	3010	3556	5700	3.83	15.66	16.80
HDK	i	í	418.139	0.194	401	2998	3451	5700	4.08	15.63	16.60
HDK	i	í	422.047	0.162	486	2759	3303	5700	4.82	15.05	16.27
HDK	i	í	423.461	0.139	458	2670	3090	5700	4.60	14.83	15.83
HDK	i	í	426.078	0.236	343	2920	3058	5700	3.53	15.45	15.77
HDK	i	í	427.284	0.218	422	2852	3131	5700	4.27	15.29	15.93
HDK	i	íː	429.971	0.398	370	2789	3203	5700	3.80	15.12	16.08
HDK	i	íː	431.197	0.431	419	3008	3392	5700	4.25	15.66	16.47
HDK	i	i	435.816	0.171	441	2803	3105	5700	4.44	15.17	15.87
HDK	i	i	437.133	0.153	435	2850	3177	5700	4.39	15.29	16.03
HDK	i	i	450.925	0.195	477	2891	3264	5700	4.76	15.38	16.22
HDK	i	i	452.314	0.188	446	2844	3318	5700	4.49	15.27	16.33
HDK	i	i	493.056	0.130	491	2754	3137	5700	4.88	15.05	15.95
HDK	i	íː	546.405	0.271	375	2940	3318	5700	3.84	15.50	16.33
HDK	i	i	546.885	0.125	478	2769	3126	5700	4.77	15.09	15.92
HDK	i	íː	547.727	0.271	402	2955	3265	5700	4.09	15.53	16.22
HDK	i	i	548.183	0.108	447	2740	3083	5700	4.50	15.02	15.82
HDK	i	i	560.509	0.106	454	2863	3179	5700	4.56	15.32	16.03
HDK	i	i	561.853	0.117	466	2797	3172	5700	4.66	15.16	16.02
HDK	i	i	568.044	0.143	357	3044	3116	5700	3.68	15.74	15.90
HDK	i	i	591.852	0.183	450	2892	3331	5700	4.52	15.39	16.35
HDK	i	i	593.114	0.222	437	2903	3210	5700	4.40	15.41	16.08
HDK	i	i	623.969	0.116	499	2866	3117	5700	4.95	15.32	15.89
HDK	i	í	624.186	0.165	482	2922	3230	5700	4.81	15.46	16.14
HDK	i	i	627.031	0.134	504	3000	3449	5700	4.99	15.64	16.59
HDK	i	í	627.238	0.163	395	3010	3478	5700	4.03	15.66	16.65
HDK	i	i	627.943	0.099	474	2750	3250	5700	4.74	15.04	16.19
HDK	i	í	628.137	0.165	479	2852	3146	5700	4.78	15.29	15.96
HDK	i	íː	688.269	0.349	363	2670	3141	5700	3.73	14.83	15.95
HDK	i	íː	689.668	0.373	373	2850	3353	5700	3.83	15.29	16.40
HDK	i	íˤ	24.742	0.223	427	2692	3448	6500	4.32	14.90	16.59
HDK	i	íˤ	25.989	0.235	416	2739	3406	6500	4.22	15.01	16.51
HDK	i	íˤ	293.348	0.277	481	2739	3266	6500	4.79	15.01	16.22
HDK	i	íˤ	294.320	0.233	474	2696	3170	6500	4.73	14.91	16.02
HDK	i	iˤ	439.830	0.133	453	2154	3484	6500	4.54	13.39	16.66
HDK	i	iˤ	441.111	0.175	494	2520	2960	6500	4.90	14.44	15.54
HDK	i	íˤ	445.699	0.247	463	2607	3335	6500	4.64	14.68	16.36
HDK	i	íˤ	447.179	0.232	409	2694	3366	6500	4.15	14.90	16.43
HDK	i	iˤ	529.910	0.130	563	2576	3197	6500	5.48	14.60	16.07
HDK	i	iˤ	531.142	0.127	532	2517	3155	6500	5.22	14.44	15.98
HDK	i	iˤ	631.676	0.129	541	2680	3191	6500	5.30	14.87	16.06
HDK	i	iˤ	632.933	0.132	493	2506	3142	6500	4.90	14.41	15.95
HDK	i	iˤ	644.048	0.216	452	2922	3286	6500	4.54	15.46	16.26
HDK	i	iˤ	645.350	0.160	467	2727	3219	6500	4.67	14.99	16.12
HDK	i	iˤ	648.646	0.201	496	2848	3610	6500	4.92	15.28	16.90
HDK	i	iˤ	650.022	0.150	535	2809	3527	6500	5.25	15.18	16.73
HDK	e	e	28.792	0.164	592	2595	3209	6000	5.72	14.65	16.10
HDK	e	e	29.978	0.134	642	2411	3182	6000	6.11	14.15	16.04
HDK	e	é	44.418	0.194	542	2651	3341	6000	5.31	14.79	16.38
HDK	e	é	45.549	0.210	456	2621	3289	6000	4.58	14.72	16.27
HDK	e	é	49.117	0.198	489	2633	3145	6000	4.87	14.75	15.96
HDK	e	é	50.387	0.165	443	2617	3204	6000	4.46	14.70	16.09
HDK	e	é	53.684	0.179	617	2667	3232	6000	5.91	14.83	16.15
HDK	e	e	54.030	0.209	525	2476	3083	6000	5.17	14.33	15.82
HDK	e	é	55.171	0.144	574	2611	3268	6000	5.57	14.69	16.23
HDK	e	e	55.482	0.187	507	2424	3018	6000	5.02	14.19	15.68
HDK	e	e	59.179	0.122	497	2550	3056	6000	4.93	14.53	15.76
HDK	e	e	60.530	0.121	489	2693	3054	6000	4.87	14.90	15.75
HDK	e	éː	83.404	0.292	560	2518	3144	6000	5.45	14.45	15.96
HDK	e	éː	84.827	0.283	476	2503	3140	6000	4.75	14.41	15.95
HDK	e	é	94.047	0.169	555	2329	3016	6000	5.41	13.92	15.67
HDK	e	é	95.709	0.173	489	2370	3047	6000	4.86	14.04	15.75
HDK	e	éː	164.977	0.354	570	2453	3135	6000	5.54	14.27	15.94
HDK	e	éː	166.552	0.285	584	2508	3167	6000	5.65	14.42	16.01
HDK	e	e	281.205	0.169	559	2508	3161	6000	5.45	14.41	16.00
HDK	e	e	282.463	0.162	576	2400	3111	6000	5.59	14.12	15.89
HDK	e	é	435.167	0.270	622	2530	3113	6000	5.95	14.47	15.89
HDK	e	é	436.520	0.198	550	2570	3147	6000	5.38	14.58	15.97
HDK	e	é	454.831	0.229	569	2618	3287	6000	5.53	14.71	16.27
HDK	e	é	456.202	0.297	549	2674	3225	6000	5.37	14.85	16.13
HDK	e	é	459.422	0.174	575	2459	3170	6000	5.58	14.28	16.01
HDK	e	é	460.862	0.205	550	2537	3124	6000	5.38	14.49	15.92
HDK	e	é	465.019	0.220	574	2672	3076	6000	5.57	14.84	15.80
HDK	e	é	466.170	0.223	561	2499	3099	6000	5.47	14.39	15.86
HDK	e	é	476.777	0.215	609	2433	3042	6000	5.85	14.21	15.73
HDK	e	é	477.642	0.240	605	2454	3067	6000	5.82	14.27	15.79
HDK	e	é	484.948	0.220	580	2352	3208	6000	5.62	13.98	16.10
HDK	e	é	486.390	0.247	570	2603	3082	6000	5.54	14.67	15.82
HDK	e	é	524.151	0.181	665	2318	3123	6000	6.28	13.88	15.91
HDK	e	é	525.434	0.169	628	2277	3202	6000	6.00	13.77	16.08
HDK	e	é	560.091	0.166	685	2365	3039	6000	6.43	14.02	15.73
HDK	e	é	561.391	0.169	641	2276	3010	6000	6.10	13.76	15.66
HDK	e	éˤ	66.442	0.240	540	2411	3047	5500	5.30	14.15	15.74
HDK	e	éˤ	67.742	0.267	571	2274	3040	5500	5.55	13.76	15.73
HDK	e	éˤ	70.895	0.247	583	2420	3063	5500	5.65	14.18	15.78
HDK	e	éˤ	72.060	0.260	545	2439	3165	5500	5.34	14.23	16.00
HDK	e	éˤ	75.469	0.227	685	2025	3040	5500	6.43	12.98	15.73
HDK	e	éˤ	76.613	0.204	700	2152	3034	5500	6.54	13.38	15.72
HDK	e	éˤ	79.127	0.269	653	2045	3023	5500	6.19	13.04	15.69
HDK	e	éˤ	80.351	0.237	660	2099	3067	5500	6.25	13.22	15.79
HDK	e	éːˤ	99.694	0.319	604	2284	2881	5500	5.81	13.76	15.34
HDK	e	éːˤ	100.743	0.351	542	2416	3096	5500	5.31	14.16	15.85
HDK	e	éːˤ	107.936	0.305	530	2572	3096	5500	5.21	14.59	15.85
HDK	e	éːˤ	109.892	0.291	498	2527	3172	5500	4.94	14.47	16.02
HDK	e	éˤ	401.988	0.267	655	2159	2905	5500	6.21	13.40	15.42
HDK	e	éˤ	403.503	0.229	603	2242	2906	5500	5.80	13.66	15.42
HDK	e	éˤ	538.899	0.167	621	1947	3119	5500	5.94	12.72	15.89
HDK	e	éˤ	540.074	0.239	652	2133	3076	5500	6.18	13.32	15.80
HDK	e	éˤ	542.671	0.302	642	1992	3181	5500	6.10	12.87	16.04
HDK	e	éˤ	544.014	0.369	654	2089	3199	5500	6.19	13.18	16.08
HDK	e	éˤ	698.255	0.272	600	2048	2815	5500	5.78	13.05	15.20
HDK	e	éˤ	699.725	0.229	618	2104	2879	5500	5.92	13.23	15.35
HDK	a	a	34.589	0.128	788	1923	3382	6000	7.16	12.64	16.46
HDK	a	a	35.884	0.140	841	1846	3272	6000	7.52	12.37	16.22
HDK	a	á	58.835	0.124	863	2016	3344	6000	7.66	12.95	16.38
HDK	a	á	60.173	0.135	834	1945	3221	6000	7.47	12.71	16.12
HDK	a	á	115.895	0.238	998	1784	3100	6000	8.50	12.14	15.86
HDK	a	á	116.851	0.250	970	1717	3255	6000	8.34	11.89	16.20
HDK	a	á	120.107	0.189	977	1816	3105	6000	8.38	12.26	15.87
HDK	a	á	121.370	0.192	947	1805	3095	6000	8.19	12.22	15.85
HDK	a	á	124.532	0.212	1013	1815	3139	6000	8.59	12.25	15.95
HDK	a	á	125.817	0.271	970	1797	3202	6000	8.33	12.19	16.08
HDK	a	á	131.537	0.202	918	1732	3102	6000	8.01	11.95	15.87
HDK	a	á	132.650	0.219	882	1639	3061	6000	7.79	11.59	15.78
HDK	a	a	145.802	0.156	826	1922	3205	6000	7.42	12.63	16.09
HDK	a	a	146.803	0.130	826	1902	3229	6000	7.42	12.56	16.14
HDK	a	á	170.036	0.199	1024	1784	3203	6000	8.65	12.14	16.09
HDK	a	á	171.579	0.165	1030	1687	3133	6000	8.68	11.77	15.94
HDK	a	áː	175.247	0.242	962	1825	3194	6000	8.28	12.29	16.07
HDK	a	áː	176.677	0.269	994	1826	3148	6000	8.48	12.29	15.97
HDK	a	áː	186.006	0.313	998	1891	3247	6000	8.50	12.53	16.18
HDK	a	a	186.413	0.130	855	1831	3112	6000	7.61	12.31	15.89
HDK	a	áː	187.382	0.278	983	1783	3134	6000	8.41	12.14	15.94
HDK	a	a	187.750	0.135	874	1792	3124	6000	7.74	12.17	15.92
HDK	a	á	192.918	0.170	1113	1786	3155	6000	9.15	12.15	15.98
HDK	a	á	194.071	0.207	960	1837	3211	6000	8.26	12.33	16.10
HDK	a	a	196.868	0.152	989	1683	3171	6000	8.44	11.76	16.02
HDK	a	áː	197.284	0.216	889	1780	3107	6000	7.83	12.13	15.88
HDK	a	a	198.508	0.120	886	1773	3140	6000	7.80	12.10	15.95
HDK	a	áː	198.876	0.214	805	1771	3064	6000	7.28	12.09	15.78
HDK	a	á	243.593	0.205	1072	1818	3236	6000	8.92	12.26	16.16
HDK	a	á	244.967	0.218	1041	1812	3159	6000	8.75	12.24	15.99
HDK	a	a	266.827	0.145	964	1880	3350	6000	8.29	12.49	16.39
HDK	a	a	267.993	0.144	968	1816	3321	6000	8.32	12.26	16.34
HDK	a	á	305.022	0.286	971	1800	3163	6000	8.34	12.20	16.00
HDK	a	á	306.339	0.281	959	1855	3110	6000	8.27	12.40	15.88
HDK	a	á	317.905	0.133	986	1995	3200	6000	8.42	12.88	16.08
HDK	a	á	319.480	0.114	954	1960	3172	6000	8.23	12.76	16.02
HDK	a	á	323.082	0.118	887	1956	3246	6000	7.79	12.75	16.18
HDK	a	á	324.734	0.092	884	1908	3162	6000	7.80	12.59	16.00
HDK	a	a	351.579	0.188	1016	1917	3102	6000	8.59	12.61	15.87
HDK	a	a	352.943	0.171	894	1840	3099	6000	7.86	12.34	15.86
HDK	a	á	365.698	0.161	1099	1949	3187	6000	9.07	12.72	16.05
HDK	a	á	367.209	0.141	1070	1887	3198	6000	8.91	12.51	16.08
HDK	a	á	390.135	0.234	1037	1762	2954	6000	8.73	12.06	15.53
HDK	a	á	391.002	0.213	974	1770	2891	6000	8.36	12.09	15.39
HDK	a	á	395.742	0.298	1001	1744	2899	6000	8.52	11.99	15.40
HDK	a	á	397.603	0.285	937	1673	2925	6000	8.13	11.72	15.46
HDK	a	á	450.465	0.275	1165	1822	3388	6000	9.42	12.28	16.47
HDK	a	á	451.863	0.266	1023	1793	3326	6000	8.64	12.17	16.34
HDK	a	a	459.852	0.158	978	1774	2747	6000	8.38	12.10	15.00
HDK	a	a	461.281	0.190	939	1820	3182	6000	8.14	12.27	16.04
HDK	a	a	469.696	0.155	793	1938	3321	6000	7.20	12.69	16.33
HDK	a	á	469.996	0.184	1178	1862	3327	6000	9.49	12.42	16.35
HDK	a	a	471.364	0.107	707	1914	3302	6000	6.58	12.60	16.30
HDK	a	á	471.614	0.204	1073	1920	3386	6000	8.93	12.62	16.47
HDK	a	á	492.539	0.266	1090	1932	3228	6000	9.03	12.67	16.14
HDK	a	á	564.536	0.163	999	1841	3149	6000	8.50	12.35	15.97
HDK	a	á	565.590	0.192	909	1817	3126	6000	7.96	12.26	15.92
HDK	a	á	568.248	0.132	886	2006	3201	6000	7.81	12.92	16.08
HDK	a	á	570.231	0.203	1151	1858	3208	6000	9.35	12.41	16.10
HDK	a	a	570.523	0.136	942	1883	3280	6000	8.16	12.50	16.25
HDK	a	á	571.200	0.266	1093	1856	3260	6000	9.04	12.40	16.21
HDK	a	a	571.557	0.146	833	1843	3269	6000	7.47	12.35	16.23
HDK	a	á	574.455	0.280	1049	1865	3204	6000	8.80	12.43	16.09
HDK	a	á	575.639	0.246	1060	1806	3195	6000	8.86	12.22	16.07
HDK	a	á	578.897	0.266	1048	1629	3319	6000	8.79	11.54	16.33
HDK	a	á	580.147	0.257	1128	1633	3266	6000	9.23	11.56	16.22
HDK	a	ã́	582.536	0.191	1054	1743	3590	6000	8.82	11.99	16.87
HDK	a	á	583.796	0.256	1151	1679	3346	6000	9.35	11.74	16.39
HDK	a	á	586.361	0.245	952	1736	3140	6000	8.22	11.96	15.95
HDK	a	á	587.609	0.227	1009	1803	3145	6000	8.56	12.21	15.96
HDK	a	á	591.310	0.220	966	1739	3272	6000	8.31	11.97	16.23
HDK	a	á	592.617	0.210	985	1744	3123	6000	8.42	11.99	15.91
HDK	a	áː	607.047	0.300	1078	1906	3267	6000	8.95	12.58	16.22
HDK	a	à	607.684	0.172	784	1820	3275	6000	7.14	12.27	16.24
HDK	a	áː	608.722	0.260	981	1781	3162	6000	8.40	12.13	16.00
HDK	a	à	609.293	0.161	809	1751	3268	6000	7.31	12.02	16.22
HDK	a	á	639.429	0.253	1060	1880	3187	6000	8.86	12.49	16.05
HDK	a	á	640.525	0.196	915	1767	3149	6000	7.99	12.08	15.97
HDK	a	á	666.679	0.187	994	1815	2937	6000	8.48	12.26	15.49
HDK	a	áˤ	154.616	0.280	973	1755	2867	6000	8.35	12.03	15.33
HDK	a	áˤ	155.647	0.233	925	1800	2847	6000	8.06	12.20	15.28
HDK	a	ã́ˤ	160.278	0.247	1106	1666	2985	6000	9.11	11.69	15.60
HDK	a	áˤ	161.581	0.242	1088	1703	2986	6000	9.01	11.84	15.60
HDK	a	áːˤ	203.291	0.322	1064	1869	2816	6000	8.88	12.45	15.20
HDK	a	áːˤ	204.549	0.335	967	1769	2946	6000	8.32	12.09	15.51
HDK	a	áːˤ	208.718	0.406	1082	1875	3011	6000	8.98	12.47	15.66
HDK	a	áːˤ	210.086	0.338	996	1776	3084	6000	8.49	12.11	15.83
HDK	a	áˤ	440.136	0.208	878	1890	3064	6000	7.76	12.52	15.78
HDK	a	áˤ	441.469	0.340	920	1853	2953	6000	8.03	12.39	15.53
HDK	a	áːˤ	529.367	0.399	1021	1822	2509	6000	8.63	12.28	14.42
HDK	a	áːˤ	530.641	0.346	1027	1855	2730	6000	8.66	12.40	14.99
HDK	a	áːˤ	533.042	0.323	1071	1816	2633	6000	8.92	12.26	14.75
HDK	a	áːˤ	534.532	0.345	996	1717	2866	6000	8.49	11.89	15.32
HDK	a	áˤ	612.931	0.221	1007	1763	2549	6000	8.55	12.06	14.53
HDK	a	áˤ	614.182	0.209	993	1711	2540	6000	8.47	11.87	14.50
HDK	a	áːˤ	631.162	0.260	927	1786	2698	6000	8.07	12.15	14.90
HDK	a	áːˤ	632.430	0.240	898	1846	2931	6000	7.89	12.36	15.47
HDK	a	áˤ	648.063	0.247	907	1755	3015	6000	7.95	12.03	15.67
HDK	a	áˤ	649.481	0.229	906	1861	2889	6000	7.94	12.42	15.38
HDK	a	áˤ	665.360	0.228	1016	1831	2545	6000	8.60	12.30	14.50
HDK	o	ó	214.368	0.236	571	1150	3072	5300	5.55	9.35	15.80
HDK	o	ó	215.539	0.194	616	1020	3036	5300	5.90	8.63	15.71
HDK	o	ó	218.071	0.141	579	1157	2924	5300	5.62	9.38	15.46
HDK	o	ó	219.243	0.140	659	1237	2996	5300	6.24	9.79	15.63
HDK	o	ó	228.713	0.289	629	1239	3100	5300	6.01	9.81	15.86
HDK	o	ó	230.108	0.253	585	1153	3142	5300	5.66	9.36	15.95
HDK	o	o	244.043	0.154	555	1104	2963	5300	5.42	9.09	15.55
HDK	o	o	245.402	0.130	583	1115	2983	5300	5.64	9.16	15.58
HDK	o	óː	270.460	0.319	573	1092	3189	5300	5.56	9.03	16.06
HDK	o	óː	271.699	0.376	552	1086	3239	5300	5.39	9.00	16.16
