file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-HDK-1-vowels_0001,249.4,0.214,í,1,Teal,1,7067,366,2855,4042,416,2947,4169,468,2953,4012,472,3009,3937,433,2879,3393
archi-phon-2006-HDK-1-vowels_0002,261.6,0.196,í,1,Teal,2,6000,424,2852,3428,483,2945,3268,474,2931,3333,521,2995,3415,592,2788,3451
archi-phon-2006-HDK-1-vowels_0003,246.5,0.196,í,1,Teal,3,6267,429,2679,3311,444,2795,3191,422,2827,3270,502,2878,3445,479,2724,3498
archi-phon-2006-HDK-1-vowels_0004,216.2,0.224,í,1,Teal,4,7200,431,2861,3718,436,2852,3635,435,2926,3576,435,2937,3533,371,2973,3674
archi-phon-2006-HDK-1-vowels_0005,211.4,0.192,í,1,Teal,5,7200,422,2862,3605,421,2826,3451,426,2873,3493,437,2958,3574,435,3071,3727
archi-phon-2006-HDK-1-vowels_0006,291.3,0.184,ú,5,Olive,6,6267,395,564,2532,402,551,2605,387,867,2905,387,943,3320,440,1185,2899
archi-phon-2006-HDK-1-vowels_0007,239.7,0.176,ú,5,Olive,7,5200,441,840,2580,504,771,2598,442,750,2429,442,758,2205,452,1106,2095
archi-phon-2006-HDK-1-vowels_0008,209.7,0.232,íˤ,6,Cyan,8,6933,462,2176,3124,438,2426,3457,427,2647,3365,421,2777,3441,414,2934,3402
archi-phon-2006-HDK-1-vowels_0009,201.1,0.234,íˤ,6,Cyan,9,6933,456,2346,3212,427,2570,3402,415,2759,3347,414,2855,3393,361,2904,3359
archi-phon-2006-HDK-1-vowels_0010,255.4,0.274,íː,11,Teal,10,6933,374,2874,3887,364,2979,3764,367,3057,3835,356,3037,3852,398,3108,3723
archi-phon-2006-HDK-1-vowels_0011,212.4,0.264,íː,11,Teal,11,7200,389,2894,3832,414,2914,3877,376,2911,3909,436,2936,3851,452,2999,3568
archi-phon-2006-HDK-1-vowels_0012,267.5,0.264,íː,11,Teal,12,6800,443,3069,3865,386,3054,3943,377,3021,3925,399,3036,3891,476,2844,3684
archi-phon-2006-HDK-1-vowels_0013,261.6,0.244,íː,11,Teal,13,7200,448,2966,3594,375,2928,3626,380,2974,3516,396,2970,3083,436,2772,3364
archi-phon-2006-HDK-1-vowels_0014,269.3,0.32,íː,11,Teal,14,7067,378,2832,3687,384,2731,2957,392,2536,3022,363,2965,3023,329,2945,3669
archi-phon-2006-HDK-1-vowels_0015,227.6,0.27,íː,11,Teal,15,7200,408,2781,3792,421,2965,3865,435,2965,3901,386,2972,3918,401,2915,3593
archi-phon-2006-HDK-1-vowels_0016,263.9,0.192,é,2,Navy,16,7200,554,2697,3329,549,2667,3319,544,2679,3394,528,2630,3326,476,2638,3405
archi-phon-2006-HDK-1-vowels_0017,219.9,0.21,é,2,Navy,17,6267,458,2651,3251,447,2595,3212,457,2643,3319,458,2615,3302,440,2693,3290
archi-phon-2006-HDK-1-vowels_0018,236.8,0.198,é,2,Navy,18,6400,475,2728,3212,485,2663,3167,493,2686,3209,503,2639,3197,528,2228,3199
archi-phon-2006-HDK-1-vowels_0019,215.9,0.164,é,2,Navy,19,6400,438,2659,3193,441,2693,3223,443,2685,3236,447,2477,3227,451,2291,3295
archi-phon-2006-HDK-1-vowels_0020,260,0.178,é,2,Navy,20,6400,555,2600,3192,549,2599,3232,631,2721,3236,719,2570,3291,727,2372,3402
archi-phon-2006-HDK-1-vowels_0021,229.6,0.144,é,2,Navy,21,7200,492,2614,3215,508,2666,3257,578,2638,3306,586,2625,3305,517,2511,3312
archi-phon-2006-HDK-1-vowels_0022,256.5,0.124,á,3,Purple,22,7067,927,2005,3251,958,1998,3283,849,2015,3347,808,2091,3446,754,2216,3421
archi-phon-2006-HDK-1-vowels_0023,227.3,0.134,á,3,Purple,23,6933,795,1892,3119,876,1895,3148,881,1962,3223,769,2042,3361,685,2109,3209
archi-phon-2006-HDK-1-vowels_0024,241,0.238,éˤ,7,Blue,24,6000,539,2466,3171,525,2470,3100,551,2426,2993,548,2312,3061,571,2112,3174
archi-phon-2006-HDK-1-vowels_0025,242.3,0.266,éˤ,7,Blue,25,5733,568,2242,2972,573,2241,3014,593,2275,3037,542,2337,3054,513,2263,3166
archi-phon-2006-HDK-1-vowels_0026,258.9,0.246,éˤ,7,Blue,26,6400,564,2391,3231,564,2382,3074,580,2457,3080,586,2396,3145,514,2400,3323
archi-phon-2006-HDK-1-vowels_0027,236.8,0.258,éˤ,7,Blue,27,6133,532,2425,3185,563,2424,3142,556,2459,3184,531,2433,3213,512,2220,3223
archi-phon-2006-HDK-1-vowels_0028,257,0.226,éˤ,7,Blue,28,6400,581,1831,3219,607,1938,3204,733,2052,3229,730,2112,3152,747,2054,3314
archi-phon-2006-HDK-1-vowels_0029,243,0.202,éˤ,7,Blue,29,6267,564,1820,3241,671,2097,3080,742,2195,3079,677,2240,3075,690,2179,3312
