file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-PSX-1-vowels_0001,245.1,0.088,í,1,Teal,1,6000,444,2695,3436,463,2695,3480,456,2703,3468,460,2675,3344,465,2433,3017
archi-phon-2006-PSX-1-vowels_0002,217.4,0.11,í,1,Teal,2,5867,434,2599,3285,445,2655,3403,422,2650,3369,401,2651,3277,406,2525,3058
archi-phon-2006-PSX-1-vowels_0003,210,0.124,í,1,Teal,3,5733,431,2533,3067,440,2605,3075,441,2679,3193,439,2659,3345,427,2540,3402
archi-phon-2006-PSX-1-vowels_0004,170.5,0.118,í,1,Teal,4,6133,376,2463,3122,412,2589,3089,397,2641,3287,399,2633,3295,383,2608,3368
archi-phon-2006-PSX-1-vowels_0005,241.2,0.178,í,1,Teal,5,7200,418,2483,3262,439,2572,3262,426,2724,3388,365,2741,3479,361,2648,3472
archi-phon-2006-PSX-1-vowels_0006,197.3,0.144,í,1,Teal,6,6800,418,2551,3200,409,2636,3231,390,2722,3277,367,2728,3283,376,2702,3239
archi-phon-2006-PSX-1-vowels_0007,262.3,0.164,ú,5,Olive,7,6267,620,741,2718,475,806,2821,508,777,3047,422,956,3234,338,1185,3381
archi-phon-2006-PSX-1-vowels_0008,232.1,0.114,ú,5,Olive,8,6800,458,989,2868,449,1099,2749,473,1033,2875,482,1158,3130,460,1346,2711
archi-phon-2006-PSX-1-vowels_0009,223.3,0.212,íˤ,6,Cyan,9,6533,432,2697,3379,340,2817,3478,418,2871,3429,405,2873,3564,384,2949,3614
archi-phon-2006-PSX-1-vowels_0010,198.2,0.2,íˤ,6,Cyan,10,6400,433,2401,2766,459,2568,3113,417,2714,3487,394,2848,3651,387,2812,3520
archi-phon-2006-PSX-1-vowels_0011,235.6,0.152,íː,11,Teal,11,6400,414,2591,3347,439,2600,3351,423,2685,3424,329,2749,3413,372,2852,3360
archi-phon-2006-PSX-1-vowels_0012,211.1,0.118,íː,11,Teal,12,6000,404,2512,3265,411,2566,3370,406,2607,3357,383,2660,3374,378,2721,3420
archi-phon-2006-PSX-1-vowels_0013,239,0.186,íː,11,Teal,13,6133,435,2767,3278,385,2869,3256,399,2870,3328,402,2814,3426,406,2683,3462
archi-phon-2006-PSX-1-vowels_0014,196.6,0.126,íː,11,Teal,14,6133,403,2890,3301,391,2957,3250,382,2997,3378,384,2916,3397,381,2872,3363
archi-phon-2006-PSX-1-vowels_0015,233.3,0.18,íː,11,Teal,15,7200,393,2635,3251,352,2701,3314,376,2665,3318,370,2748,3296,371,2634,3326
archi-phon-2006-PSX-1-vowels_0016,199.8,0.162,íː,11,Teal,16,6267,396,2701,3314,373,2705,3228,400,2729,3207,391,2729,3233,362,2646,3226
archi-phon-2006-PSX-1-vowels_0017,206.4,0.118,é,2,Navy,17,5600,435,2475,3252,427,2479,3251,428,2478,3233,421,2459,3252,406,2423,3284
archi-phon-2006-PSX-1-vowels_0018,193.3,0.128,é,2,Navy,18,6533,434,2571,3373,425,2580,3388,394,2619,3373,377,2625,3408,389,2609,3394
archi-phon-2006-PSX-1-vowels_0019,217.5,0.18,é,2,Navy,19,6533,375,2706,3290,441,2644,3249,446,2604,3185,471,2524,3212,445,2297,3198
archi-phon-2006-PSX-1-vowels_0020,185.2,0.136,é,2,Navy,20,6000,388,2644,3274,394,2628,3203,394,2548,3109,414,2442,3113,407,2277,3050
archi-phon-2006-PSX-1-vowels_0021,290.9,0.11,é,2,Navy,21,7200,563,2452,3096,560,2419,3095,548,2434,3233,582,2379,3197,540,2266,3274
archi-phon-2006-PSX-1-vowels_0022,194.3,0.114,é,2,Navy,22,5867,481,2466,3111,440,2463,3232,429,2410,3145,398,2332,3127,390,2312,3098
archi-phon-2006-PSX-1-vowels_0023,219.2,0.104,éˤ,7,Blue,23,5867,597,2170,2823,532,2137,2902,458,2066,2835,404,2008,3055,533,2146,3428
archi-phon-2006-PSX-1-vowels_0024,194.7,0.108,éˤ,7,Blue,24,5600,545,2265,2828,520,2196,2869,476,2140,3084,438,2131,3173,474,2161,3195
archi-phon-2006-PSX-1-vowels_0025,133.1,0.15,éˤ,7,Blue,25,5733,642,2249,3146,559,2292,3100,471,2344,3109,371,2372,3166,351,2304,3319
archi-phon-2006-PSX-1-vowels_0026,176.1,0.098,éˤ,7,Blue,26,5600,519,2349,3016,538,2331,2983,521,2436,3113,484,2384,3116,426,2434,3287
archi-phon-2006-PSX-1-vowels_0027,207.2,0.14,éˤ,7,Blue,27,6000,481,1854,2905,578,1870,2828,561,1853,2715,590,1885,2730,569,1733,2615
archi-phon-2006-PSX-1-vowels_0028,190.9,0.136,éˤ,7,Blue,28,5600,461,1831,3081,498,1854,2827,543,1850,2691,594,1831,2738,532,1663,2659
archi-phon-2006-PSX-1-vowels_0029,214.6,0.284,éː,12,Navy,29,5867,414,2291,2859,437,2398,3119,439,2358,3162,451,2349,3090,627,1722,2848
archi-phon-2006-PSX-1-vowels_0030,183.3,0.2,éː,12,Navy,30,6400,427,2290,2914,385,2454,3064,386,2523,3194,424,2458,3025,517,1807,2957
archi-phon-2006-PSX-1-vowels_0031,272.7,0.116,íː,11,Teal,31,6533,421,2509,3323,441,2556,3353,458,2555,3327,375,2616,3236,356,2641,3163
archi-phon-2006-PSX-1-vowels_0032,201.5,0.098,ú,5,Olive,32,5733,487,1317,2738,432,1159,2633,414,1016,2752,394,939,2788,385,874,2607
archi-phon-2006-PSX-1-vowels_0033,244.9,0.234,í,1,Teal,33,6400,416,2677,3275,449,2707,3304,423,2703,3358,386,2750,3480,382,2661,3479
archi-phon-2006-PSX-1-vowels_0034,217.8,0.092,íː,11,Teal,34,5733,415,2564,3215,397,2570,3169,439,2584,3084,420,2592,3017,372,2672,2864
archi-phon-2006-PSX-1-vowels_0035,175.6,0.086,ú,5,Olive,35,5867,400,1148,2591,400,1030,2692,392,988,2612,377,923,2583,348,1092,2689
