group,label,color
2,ə,Black
3,əˤ,Grey
4,i,Teal
5,e,Blue
6,a,Purple
7,o,Green
8,u,Olive
9,iˤ,Yellow
10,eˤ,Navy
11,aˤ,Magenta
12,oˤ,Lime
13,uˤ,Maroon
14,í,Teal
15,é,Blue
16,á,Purple
17,ó,Green
18,ú,Olive
19,íˤ,Yellow
20,éˤ,Navy
21,áˤ,Magenta
22,óˤ,Lime
23,úˤ,Maroon
24,ʊ,Yellow
25,ɑ,Magenta
26,ɒ,Black
27,ɪ,Lime
28,ɛ,Purple
29,ʌ,Teal
30,ɔ,Navy
31,æ,Pink
32,ɘ,Maroon
33,ɵ,Grey
34,y,Silver
35,ø,Cyan
36,œ,Red
37,ɜ,Blue
38,ɞ,Black
39,ɐ,Green
40,ʏ,Olive
41,ɶ,Yellow
42,ʉ,Magenta
43,ɨ,Black
44,ɯ,Lime
45,ɤ,Purple
