speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
HDK	áːˤ	a	0.322	4730	0.049	962	1790	2632	8.29	12.16	14.75	6.804	páːˤ-bus	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.119	5090	0.275	516	1121	2587	5.10	9.19	14.63	7.205	páːˤ-bus	archi-phon-2006-HDK-2-stops	Auto
HDK	áːˤ	a	0.316	4470	0.039	874	1712	1933	7.74	11.87	12.67	8.186	páːˤ-bus	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.114	5350	0.043	496	1092	2608	4.93	9.03	14.68	8.590	páːˤ-bus	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.261	5430	0.019	580	1161	3184	5.63	9.40	16.05	13.431	bós	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.281	5310	0.026	556	1119	3213	5.43	9.18	16.11	14.426	bós	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.207	5230	0.092	571	1128	3411	5.55	9.23	16.52	33.466	sːób	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.193	5070	0.108	543	1136	3285	5.32	9.28	16.26	34.738	sːób	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.185	5710	0.016	981	1760	3175	8.40	12.05	16.03	37.718	nápqʰ	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.172	5490	0.039	975	1729	3067	8.36	11.93	15.79	38.971	nápqʰ	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.064	5530	0.087	619	1929	3361	5.93	12.66	16.42	42.726	nəɸ-qʰín#nókɬʼʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.113	6100	0.044	417	2837	3378	4.23	15.26	16.45	43.094	nəɸ-qʰín#nókɬʼʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.181	4590	0.489	519	1235	2073	5.12	9.79	13.14	43.403	nəɸ-qʰín#nókɬʼʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.063	5310	0.015	673	1638	3344	6.34	11.58	16.38	44.281	nəβ-qʰín#nókɬʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.105	6600	0.018	524	2806	3299	5.16	15.18	16.29	44.616	nəβ-qʰín#nókɬʼ	archi-phon-2006-HDK-2-stops	Auto
