speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	i	í	7.075	0.090	421	2705	3503	6500	4.27	14.93	16.70	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	8.305	0.111	413	2661	3394	6500	4.19	14.82	16.48	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	10.361	0.124	430	2691	3342	6500	4.35	14.90	16.38	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	11.695	0.119	402	2659	3354	6500	4.09	14.82	16.40	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	13.657	0.179	404	2680	3347	6500	4.11	14.87	16.39	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	14.625	0.146	385	2691	3254	6500	3.93	14.90	16.20	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	28.493	0.153	394	2665	3396	6500	4.02	14.83	16.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	29.361	0.118	403	2615	3402	6500	4.10	14.70	16.50	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	32.782	0.187	374	2913	3517	6500	3.83	15.44	16.72	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	34.486	0.127	384	2973	3358	6500	3.93	15.58	16.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	37.753	0.181	369	2702	3298	6500	3.79	14.92	16.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	39.385	0.164	391	2733	3214	6500	3.99	15.00	16.11	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	77.813	0.116	427	2559	3290	6500	4.32	14.55	16.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	78.887	0.136	384	2595	3456	6500	3.92	14.65	16.61	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	79.286	0.093	431	2596	3151	6500	4.36	14.65	15.97	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	80.115	0.146	340	2661	3485	6500	3.50	14.82	16.67	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	124.893	0.275	394	2759	3235	6500	4.02	15.07	16.15	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	125.835	0.181	341	2739	3099	6500	3.52	15.02	15.86	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	127.962	0.119	502	2475	3081	6500	4.96	14.32	15.82	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	129.079	0.076	464	2532	3359	6500	4.64	14.48	16.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	136.077	0.309	357	2779	3462	6500	3.67	15.12	16.62	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	137.607	0.193	349	2703	3279	6500	3.60	14.93	16.25	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	217.289	0.186	410	2815	3486	6500	4.16	15.20	16.67	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	218.270	0.125	324	2694	3368	6500	3.35	14.90	16.43	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	221.118	0.081	393	2603	3334	6500	4.01	14.67	16.36	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	222.266	0.053	401	2611	3311	6500	4.09	14.69	16.32	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	225.964	0.097	376	2483	3165	6500	3.85	14.35	16.01	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	227.632	0.091	399	2457	3348	6500	4.06	14.28	16.39	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	293.671	0.186	389	2928	3409	6500	3.96	15.47	16.51	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	294.910	0.150	372	2856	3267	6500	3.81	15.30	16.22	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	298.411	0.164	406	2839	3291	6500	4.13	15.26	16.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	299.535	0.170	392	2758	3050	6500	4.00	15.06	15.75	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	333.083	0.183	373	2786	3231	6500	3.82	15.13	16.13	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	333.982	0.234	338	2829	3402	6500	3.49	15.24	16.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	478.018	0.163	352	2683	3314	6500	3.63	14.88	16.32	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	480.004	0.285	522	2766	3416	6500	4.41	15.06	16.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	492.314	0.133	396	2635	3313	6500	4.03	14.75	16.32	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	493.484	0.130	378	2788	3408	6500	3.87	15.14	16.51	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	496.448	0.168	380	2735	3434	6500	3.89	15.01	16.56	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	497.562	0.266	347	2788	3516	6500	3.58	15.14	16.72	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ĩ́	502.649	0.133	336	2793	3430	6500	3.47	15.15	16.55	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ĩ́	503.317	0.139	395	2703	3451	6500	4.03	14.93	16.59	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	507.540	0.103	346	2455	3597	6500	3.56	14.27	16.88	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	508.926	0.118	330	2480	3463	6500	3.42	14.34	16.62	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	í	533.491	0.155	422	2781	3155	6500	4.28	15.12	15.98	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	544.076	0.199	377	2831	3395	6500	3.86	15.24	16.47	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íː	545.412	0.145	404	2654	3048	6500	4.11	14.79	15.75	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ĩ́ː	675.837	0.409	465	2582	2905	6500	4.65	14.60	15.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ĩ́ː	677.062	0.309	400	2884	3409	6500	4.08	15.37	16.51	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ĩ́ː	686.237	0.320	358	3001	3617	6500	3.68	15.64	16.92	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	25.030	0.213	386	2835	3420	6450	3.94	15.25	16.53	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	25.986	0.201	416	2751	3519	6450	4.21	15.04	16.72	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	532.447	0.237	360	2566	3057	6450	3.70	14.55	15.75	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	593.627	0.175	366	2446	2778	6450	3.76	14.24	15.11	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	594.928	0.182	344	2492	3121	6450	3.55	14.37	15.91	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	758.841	0.233	360	2466	2955	6450	3.70	14.29	15.51	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	íˤ	759.860	0.214	365	2577	3475	6450	3.75	14.60	16.64	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ìˤ	763.032	0.256	371	2875	3448	6450	3.81	15.35	16.59	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	ìˤ	764.243	0.187	357	2769	3496	6450	3.67	15.02	16.66	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	13.478	0.090	425	2634	3149	6350	4.30	14.75	15.97	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	14.469	0.085	426	2641	3158	6350	4.31	14.77	15.99	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	21.124	0.182	361	2848	3349	6350	3.71	15.28	16.39	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	21.986	0.101	357	2856	3476	6350	3.67	15.30	16.65	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	38.070	0.124	391	2636	3300	6350	3.98	14.76	16.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	39.716	0.067	274	2587	3183	6350	2.84	14.63	16.04	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	41.888	0.149	340	2636	3402	6350	3.51	14.75	16.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	43.428	0.118	354	2682	3386	6350	3.65	14.87	16.46	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	50.536	0.243	410	2641	3239	6350	4.16	14.77	16.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	51.841	0.123	384	2734	3420	6350	3.92	15.00	16.53	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	78.613	0.274	428	2696	3302	6350	4.32	14.91	16.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	79.998	0.091	391	2481	3087	6350	3.99	14.34	15.83	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	109.238	0.101	445	2413	2836	6350	4.48	14.15	15.25	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	113.982	0.099	414	2336	3010	6350	4.20	13.93	15.66	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	221.461	0.161	429	2679	3416	6350	4.34	14.86	16.50	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	222.507	0.095	389	2712	3432	6350	3.97	14.95	16.56	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	226.210	0.246	375	2789	3525	6350	3.84	15.14	16.74	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	227.875	0.221	372	2661	3392	6350	3.81	14.82	16.48	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	300.721	0.067	322	2580	3338	6350	3.34	14.61	16.37	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	301.368	0.054	413	2598	3396	6350	4.20	14.66	16.49	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	306.590	0.192	348	2664	3095	6350	3.58	14.82	15.82	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	308.083	0.161	532	2596	3359	6350	5.09	14.65	16.41	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	349.601	0.270	335	2683	3284	6350	3.47	14.88	16.23	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	350.570	0.134	437	2574	3197	6350	4.41	14.59	16.07	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	353.030	0.178	361	2607	3062	6350	3.71	14.68	15.77	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	353.837	0.120	323	2696	3325	6350	3.35	14.91	16.34	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	470.580	0.061	483	2173	3079	6350	4.81	13.45	15.81	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	471.149	0.163	430	2575	3054	6350	4.34	14.60	15.76	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	472.365	0.080	461	2275	3064	6350	4.62	13.76	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	472.985	0.087	277	2679	3061	6350	2.90	14.87	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	676.411	0.222	359	2505	3147	6350	3.70	14.40	15.94	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	677.521	0.089	287	2819	3353	6350	3.00	15.21	16.40	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	684.115	0.074	336	2502	2887	6350	3.47	14.40	15.38	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	686.678	0.042	346	2750	3064	6350	3.57	15.04	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	691.047	0.079	382	2759	3250	6350	3.91	15.06	16.19	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	692.479	0.070	382	2640	3047	6350	3.91	14.77	15.74	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	24.750	0.100	535	2450	3235	5500	5.26	14.26	16.15	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	25.730	0.100	455	2555	3586	5500	4.57	14.55	16.85	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	588.269	0.141	411	2593	3299	5500	4.17	14.64	16.28	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	589.431	0.127	398	2668	3289	5500	4.05	14.84	16.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	41.544	0.118	428	2496	3288	6500	4.33	14.39	16.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	43.057	0.129	396	2626	3409	6500	4.03	14.73	16.52	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	45.477	0.181	450	2589	3222	6500	4.53	14.63	16.13	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	46.823	0.137	404	2588	3236	6500	4.11	14.63	16.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	49.951	0.111	555	2408	3191	6500	5.42	14.14	16.06	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	51.282	0.115	424	2422	3188	6500	4.29	14.18	16.05	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	72.610	0.284	438	2374	3176	6500	4.42	14.05	16.03	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	73.840	0.202	395	2556	3328	6500	4.02	14.55	16.35	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	87.411	0.169	544	2210	3018	6500	5.32	13.56	15.67	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	88.852	0.128	434	2313	3121	6500	4.38	13.86	15.90	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	401.909	0.153	481	2281	3099	6500	4.78	13.78	15.86	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	403.580	0.076	444	2397	3010	6500	4.47	14.11	15.66	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	493.320	0.084	512	2222	2979	6500	5.06	13.60	15.59	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	597.954	0.202	463	2454	3208	6500	4.64	14.27	16.10	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	599.221	0.138	410	2411	3162	6500	4.17	14.15	16.00	archi-phon-2006-PSX-1-vowels	Auto
