speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	i	í	26.377	0.105	330	2324	2780	5500	3.42	13.90	15.10	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	56.135	0.115	451	2484	3164	5500	4.53	14.35	16.00	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	57.788	0.150	444	2444	3144	5500	4.44	14.22	15.93	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	73.741	0.197	339	2444	3142	5500	3.50	14.24	15.92	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	75.290	0.085	415	2438	3385	5500	4.21	14.23	16.47	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	77.020	0.162	343	2560	3489	5500	3.53	14.56	16.66	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	78.453	0.114	405	2404	3080	5500	4.12	14.13	15.81	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	80.023	0.119	401	2598	3192	5500	4.08	14.65	16.01	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	81.634	0.136	448	2392	2985	5500	4.51	14.08	15.58	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	177.588	0.145	387	2427	3000	5500	3.95	14.19	15.64	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	208.259	0.133	372	2451	3168	5500	3.81	14.13	15.97	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	209.402	0.115	432	2649	3297	5500	4.36	14.79	16.29	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	259.766	0.206	416	2539	2956	5500	4.22	14.49	15.53	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	260.662	0.157	404	2247	2778	5500	4.11	13.66	15.11	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	345.837	0.419	413	2436	3449	5500	4.18	13.86	16.57	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	347.236	0.280	380	2689	3285	5500	3.89	14.86	16.25	archi-phon-2006-PSX-2-stops	Auto
PSX	i	íː	483.566	0.222	386	2742	3448	5500	3.94	15.03	16.59	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	607.597	0.174	339	2512	2821	5500	3.51	14.42	15.21	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	631.269	0.185	306	2410	2899	5500	3.19	14.14	15.40	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	696.574	0.121	437	2288	3024	5500	4.41	13.79	15.69	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	842.242	0.128	428	2325	2889	5500	4.31	13.89	15.38	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	843.387	0.158	432	2137	2817	5500	4.36	13.32	15.21	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	993.892	0.151	356	2600	3132	5500	3.67	14.66	15.93	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	994.994	0.121	415	2727	3190	5500	4.21	14.99	16.04	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	1041.886	0.315	505	2569	3071	5500	4.80	14.53	15.78	archi-phon-2006-PSX-2-stops	Auto
PSX	i	í	1042.966	0.238	433	2729	3057	5500	4.37	14.99	15.76	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	178.559	0.109	380	2335	2820	5900	3.89	13.93	15.21	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	188.848	0.308	466	2855	3367	5900	4.65	15.30	16.43	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	189.852	0.204	388	2813	3262	5900	3.97	15.20	16.19	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	201.807	0.269	464	2520	3538	5900	4.64	14.45	16.77	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	250.984	0.292	426	2783	3615	5900	4.30	15.11	16.91	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	265.296	0.113	360	2671	2898	5900	3.70	14.84	15.40	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	266.220	0.107	390	2752	3418	5900	3.98	15.05	16.53	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	393.513	0.205	439	2441	3338	5900	4.41	14.20	16.33	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	394.574	0.073	357	2460	3278	5900	3.67	14.29	16.25	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	433.855	0.291	427	2602	3460	5900	4.31	14.67	16.61	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	434.980	0.086	362	2604	3187	5900	3.72	14.67	16.05	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	482.136	0.194	421	2579	3238	5900	4.26	14.61	16.16	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	631.490	0.156	355	2846	3342	5900	3.65	15.27	16.38	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	696.741	0.137	352	2553	3146	5900	3.62	14.52	15.96	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	993.640	0.146	459	2474	2936	5900	4.61	14.33	15.49	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	994.836	0.066	451	2540	2992	5900	4.53	14.50	15.62	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	70.065	0.320	389	2469	2989	5900	3.97	14.25	15.57	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	71.035	0.222	417	2681	3204	5900	4.19	14.87	16.08	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	251.831	0.256	388	2776	3363	5900	3.95	15.11	16.42	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	488.425	0.221	432	2299	2989	5900	4.35	13.81	15.52	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	489.779	0.187	394	2641	3105	5900	4.01	14.76	15.86	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	860.965	0.381	413	2598	3368	5900	4.19	14.65	16.43	archi-phon-2006-PSX-2-stops	Auto
PSX	i	iˤ	861.941	0.165	681	2591	3205	5900	6.35	14.64	16.09	archi-phon-2006-PSX-2-stops	Auto
PSX	e	è	74.315	0.160	467	2260	2836	5900	4.66	13.72	15.22	archi-phon-2006-PSX-2-stops	Auto
PSX	e	è	75.760	0.121	468	2170	2687	5900	4.68	13.44	14.88	archi-phon-2006-PSX-2-stops	Auto
PSX	e	è	77.614	0.136	578	2318	2836	5900	5.60	13.88	15.25	archi-phon-2006-PSX-2-stops	Auto
PSX	e	è	80.734	0.169	488	2364	3067	5900	4.85	14.01	15.77	archi-phon-2006-PSX-2-stops	Auto
PSX	e	è	82.203	0.103	440	2540	3051	5900	4.43	14.50	15.75	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	87.240	0.169	467	2401	3028	5900	4.67	14.12	15.70	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	88.849	0.163	436	2376	3127	5900	4.39	14.05	15.92	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	228.965	0.060	462	2132	2835	5900	4.63	13.32	15.25	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	230.026	0.060	401	2067	2840	5900	4.08	13.12	15.26	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	238.751	0.094	572	2112	2840	5900	5.53	13.25	15.14	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	306.593	0.174	665	2176	2604	5900	6.28	13.46	14.67	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	326.583	0.208	610	2498	3087	5900	5.85	14.39	15.83	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	327.418	0.117	470	2411	3075	5900	4.69	14.15	15.81	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	448.042	0.277	535	2188	2690	5900	5.25	13.50	14.86	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	449.353	0.165	461	2319	3026	5900	4.62	13.89	15.69	archi-phon-2006-PSX-2-stops	Auto
PSX	e	é	482.049	0.087	418	2427	2991	5900	4.24	14.20	15.62	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	201.510	0.178	532	2145	2770	5700	5.23	13.36	15.09	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	202.796	0.160	439	2294	3109	5700	4.43	13.82	15.87	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	204.080	0.160	561	2240	2779	5700	5.47	13.65	15.09	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	205.069	0.094	492	2288	2716	5700	4.88	13.80	14.96	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	341.287	0.469	657	2291	2699	5700	6.22	13.81	14.90	archi-phon-2006-PSX-2-stops	Auto
PSX	e	éˤ	342.593	0.423	432	2328	2731	5700	4.35	13.91	14.98	archi-phon-2006-PSX-2-stops	Auto
PSX	e	e	78.909	0.103	430	2487	3178	5500	4.35	14.36	16.03	archi-phon-2006-PSX-2-stops	Auto
PSX	e	e	86.883	0.139	466	2232	2918	5500	4.67	13.63	15.45	archi-phon-2006-PSX-2-stops	Auto
PSX	e	e	88.559	0.093	423	2266	2909	5500	4.28	13.73	15.43	archi-phon-2006-PSX-2-stops	Auto
PSX	e	e	345.432	0.314	524	2276	2995	5500	5.16	13.74	15.59	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	50.713	0.187	742	1810	3079	5500	6.83	12.23	15.81	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	51.858	0.157	951	1831	3148	5500	8.22	12.31	15.96	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	65.385	0.222	844	1725	2834	5500	7.53	11.92	15.23	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	66.728	0.224	945	1724	3179	5500	8.18	11.91	16.03	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	98.065	0.218	889	1760	2505	5500	7.82	12.04	14.40	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	112.621	0.088	696	1757	2989	5500	6.51	12.04	15.60	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	138.750	0.094	764	1764	2926	5500	7.00	12.06	15.47	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	139.125	0.106	795	1710	2813	5500	7.21	11.86	15.20	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	139.539	0.079	907	1844	2787	5500	7.94	12.36	15.14	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	216.136	0.273	771	1572	2593	5500	7.01	11.25	14.49	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	217.282	0.221	842	1634	3085	5500	7.53	11.57	15.83	archi-phon-2006-PSX-2-stops	Auto
PSX	a	à	245.900	0.213	826	1827	2863	5500	7.40	12.29	15.32	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	254.778	0.192	780	1754	2876	5500	7.11	12.02	15.35	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	255.645	0.215	779	1871	3056	5500	7.10	12.45	15.76	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	269.160	0.192	773	1695	2829	5500	7.06	11.80	15.24	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	270.326	0.171	786	1657	2886	5500	7.16	11.66	15.37	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	280.749	0.185	831	1832	3000	5500	7.45	12.32	15.64	archi-phon-2006-PSX-2-stops	Auto
PSX	a	à	281.118	0.187	827	1809	3067	5500	7.42	12.23	15.79	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	281.811	0.107	572	1818	2833	5500	5.56	12.27	15.25	archi-phon-2006-PSX-2-stops	Auto
PSX	a	à	282.087	0.073	632	1921	2914	5500	6.02	12.63	15.44	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	316.558	0.192	942	1782	2978	5500	8.15	12.13	15.58	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	317.690	0.182	807	1679	3152	5500	7.29	11.73	15.97	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	336.397	0.189	799	1857	3387	5500	7.22	12.40	16.44	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	337.566	0.172	929	1728	2684	5500	7.77	11.89	14.63	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	354.676	0.507	790	1857	3067	5500	7.17	12.40	15.79	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	355.816	0.237	819	1848	3305	5500	7.36	12.37	16.29	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	371.734	0.252	861	1750	3015	5500	7.66	12.02	15.67	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	372.793	0.250	916	1825	3151	5500	7.92	12.26	15.97	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	433.416	0.225	712	1800	2700	5500	6.62	12.20	14.88	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	434.570	0.208	757	1891	2918	5500	6.95	12.51	15.44	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	444.249	0.201	790	1836	2965	5500	7.18	12.31	15.55	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	445.298	0.191	767	1677	2838	5500	7.02	11.72	15.25	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	494.793	0.279	958	1656	2750	5500	8.24	11.64	14.95	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	496.062	0.168	735	1552	2901	5500	6.71	11.21	15.37	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	527.856	0.131	934	1496	3023	5500	8.10	10.99	15.68	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	815.622	0.148	704	1548	2808	5500	6.55	11.21	15.19	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	817.586	0.145	686	1546	2893	5500	6.43	11.20	15.39	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	827.485	0.245	854	1704	3046	5500	7.61	11.84	15.74	archi-phon-2006-PSX-2-stops	Auto
PSX	a	à	827.858	0.102	756	1743	2829	5500	6.95	11.98	15.24	archi-phon-2006-PSX-2-stops	Auto
PSX	a	á	828.654	0.252	840	1720	3146	5500	7.49	11.90	15.96	archi-phon-2006-PSX-2-stops	Auto
