speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
JSP	í	i	0.236	6600	0.356	353	2509	4152	3.64	14.42	17.88	4.620		archi-phon-2006-JSP-1-vowels	Auto
JSP	í	i	0.179	6000	0.067	339	2404	3102	3.50	14.13	15.87	5.449		archi-phon-2006-JSP-1-vowels	Auto
JSP	í	i	0.293	6260	0.168	383	2339	3149	3.92	13.95	15.97	8.696	ʧʼʲín	archi-phon-2006-JSP-1-vowels	Auto
JSP	í	i	0.204	5400	0.266	395	2158	2789	4.02	13.40	15.14	9.758	ʧʼʲín	archi-phon-2006-JSP-1-vowels	Auto
JSP	ə	ə	0.126	5750	0.108	390	1916	2507	3.98	12.61	14.42	13.895	kɬʼəlʲí	archi-phon-2006-JSP-1-vowels	Auto
JSP	í	i	0.269	5520	0.051	347	2231	2654	3.58	13.63	14.80	14.081	kɬʼəlʲí	archi-phon-2006-JSP-1-vowels	Auto
JSP	ə	ə	0.098	5490	0.027	416	1813	2388	4.22	12.25	14.09	14.709	kɬʼəlʲí	archi-phon-2006-JSP-1-vowels	Auto
JSP	í	i	0.209	6360	0.116	308	2358	3083	3.20	14.00	15.83	14.858	kɬʼəlʲí	archi-phon-2006-JSP-1-vowels	Auto
JSP	ú	u	0.175	4310	0.778	361	859	1962	3.72	7.64	12.77	17.811		archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.178	5460	0.041	357	2180	2439	3.67	13.47	14.23	18.282	úrkːʲi	archi-phon-2006-JSP-1-vowels	Auto
JSP	ú	u	0.143	4650	0.040	339	857	2352	3.50	7.63	13.98	18.533	úrkːʲi	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.125	5540	0.044	302	2089	2474	3.15	13.19	14.33	18.932	úrkːʲi	archi-phon-2006-JSP-1-vowels	Auto
JSP	əˤ	ə	0.080	5010	0.023	430	1563	2063	4.35	11.28	13.10	24.486	hˤəˤmˤpʼˤíˤ	archi-phon-2006-JSP-1-vowels	Auto
JSP	íˤ	i	0.156	5900	0.037	358	2017	2897	3.68	12.95	15.40	24.769	hˤəˤmˤpʼˤíˤ	archi-phon-2006-JSP-1-vowels	Auto
JSP	əˤ	ə	0.083	4710	0.016	461	1563	1833	4.62	11.28	12.32	25.360	hˤəˤmˤpˤíˤ	archi-phon-2006-JSP-1-vowels	Auto
JSP	íˤ	i	0.152	5700	0.149	332	1968	2957	3.44	12.79	15.54	25.615	hˤəˤmˤpˤíˤ	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.178	5740	0.099	371	2118	2833	3.80	13.28	15.25	29.540	íːkʼʲen	archi-phon-2006-JSP-1-vowels	Auto
JSP	e	e	0.133	5150	0.059	444	1754	2204	4.47	12.03	13.55	29.867	íːkʼʲen	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.183	6500	0.093	338	2152	3902	3.50	13.39	17.45	31.405		archi-phon-2006-JSP-1-vowels	Auto
JSP	e	e	0.118	5790	0.116	497	1798	2473	4.93	12.19	14.32	31.757	íːkʼen	archi-phon-2006-JSP-1-vowels	Auto
JSP	ó 	o	0.097	4350	0.626	466	1051	2265	4.66	8.80	13.73	37.553	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.176	6080	0.062	395	2271	2988	4.03	13.75	15.61	37.907	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	a	a	0.105	5030	0.233	535	1459	2483	5.26	10.84	14.35	38.220	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	ó	o	0.098	4510	0.449	428	885	2103	4.33	7.80	13.23	39.140	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.136	5400	0.044	337	2266	2788	3.49	13.73	15.14	39.485	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	a	a	0.106	4970	0.035	534	1404	2031	5.24	10.59	13.00	39.788	ós#tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.207	6220	0.019	351	2383	3324	3.61	14.07	16.34	42.116	tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	a	a	0.180	5510	0.075	571	1461	2567	5.55	10.85	14.58	42.520	tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.141	6600	0.220	334	2418	3816	3.45	14.17	17.29	42.919	tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	a	a	0.102	4990	0.101	534	1405	2158	5.25	10.60	13.41	43.249	tʼíːnna	archi-phon-2006-JSP-1-vowels	Auto
JSP	ó	o	0.266	4350	0.185	485	838	2435	4.83	7.51	14.22	65.908	bóh#nís	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.153	5400	0.087	372	2192	2709	3.82	13.51	14.94	66.488	bóh#nís	archi-phon-2006-JSP-1-vowels	Auto
JSP	ó	o	0.171	4550	0.075	460	791	2408	4.61	7.19	14.14	69.513	bóh#nís	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.104	5680	0.020	382	2119	2709	3.90	13.28	14.94	70.004	bóh#nís	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.156	5520	0.024	364	2200	2850	3.74	13.54	15.29	79.999	líːʦʼi	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.080	5400	0.039	370	1929	2678	3.79	12.66	14.86	80.247	líːʦʼi	archi-phon-2006-JSP-1-vowels	Auto
JSP	íː	i	0.140	5780	0.117	349	2194	3173	3.60	13.52	16.02	81.399	líːʦʼi	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.084	5580	0.087	371	2006	2641	3.81	12.92	14.77	81.649	líːʦʼi	archi-phon-2006-JSP-1-vowels	Auto
JSP	é	e	0.148	5150	0.153	433	1842	2460	4.37	12.35	14.29	87.287	éʃːi	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.137	5660	0.150	328	2062	2923	3.40	13.10	15.46	87.651	éʃːi	archi-phon-2006-JSP-1-vowels	Auto
JSP	é	e	0.132	5150	0.013	446	1852	2358	4.49	12.39	14.00	87.883		archi-phon-2006-JSP-1-vowels	Auto
JSP	i	i	0.099	6540	0.067	2117	3190	4696	13.28	16.06	18.73	88.202	éʃːi	archi-phon-2006-JSP-1-vowels	Auto
