speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
HDK	i	í	5.790	0.216	508	2968	3909	6000	5.03	15.56	17.46	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	ĩ́	7.232	0.184	453	2741	3438	6000	4.55	14.94	16.54	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	9.710	0.197	459	2984	3412	6000	4.60	15.60	16.52	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	10.982	0.196	440	2843	3341	6000	4.43	15.27	16.37	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	13.539	0.226	433	2882	3535	6000	4.38	15.36	16.76	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	14.643	0.193	424	2721	3254	6000	4.29	14.96	16.18	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	28.369	0.276	369	3028	3785	6000	3.78	15.70	17.24	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	29.596	0.265	393	2912	3390	6000	4.01	15.43	16.44	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	34.168	0.264	378	2714	3713	6000	3.87	14.80	17.05	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	35.502	0.245	378	2771	3332	6000	3.87	15.06	16.31	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	40.527	0.321	385	2396	2990	6000	3.94	14.09	15.62	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	41.765	0.271	413	2603	3007	6000	4.19	14.66	15.65	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	145.347	0.177	413	2886	3333	6000	4.19	15.37	16.36	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	146.391	0.183	466	2896	3369	6000	4.66	15.40	16.43	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	237.590	0.157	470	2858	3324	6000	4.70	15.31	16.34	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	238.469	0.186	508	2857	3326	6000	5.03	15.30	16.34	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	266.333	0.328	345	3008	3466	6000	3.56	15.66	16.63	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	íː	267.545	0.313	334	3064	3293	6000	3.45	15.78	16.27	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	409.304	0.229	338	2935	3476	6000	3.49	15.49	16.65	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	410.607	0.248	361	2937	3347	6000	3.71	15.49	16.39	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	413.372	0.450	337	2969	3429	6000	3.48	15.57	16.55	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	í	414.512	0.358	345	2952	3475	6000	3.56	15.53	16.64	archi-phon-2006-HDK-1-vowels	Auto
