speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
HDK	a	á	37.718	0.185	985	1750	3173	5500	8.43	12.02	16.02	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	38.971	0.173	1087	1725	3142	5500	9.00	11.92	15.96	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	48.439	0.176	1027	1790	2832	5500	8.67	12.16	15.22	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	49.869	0.182	982	1757	3157	5500	8.40	12.04	15.98	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	70.751	0.175	1099	1772	3044	5500	9.07	12.10	15.69	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	71.706	0.201	1107	1738	2981	5500	9.12	11.97	15.54	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	80.145	0.327	1032	1765	2752	5500	8.69	12.05	14.97	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	81.441	0.300	1006	1753	3112	5500	8.55	12.03	15.87	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	91.219	0.260	1059	1858	3272	5500	8.85	12.41	16.23	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	97.937	0.135	1058	1809	3189	5500	8.85	12.23	16.05	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	133.429	0.237	1055	1802	2957	5500	8.82	12.21	15.50	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	134.434	0.230	1026	1812	3174	5500	8.66	12.24	16.02	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	194.937	0.130	966	1999	2858	5500	8.31	12.89	15.30	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	196.316	0.177	963	1887	2557	5500	8.26	12.51	14.46	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	214.405	0.258	1016	1797	3085	5500	8.60	12.19	15.82	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	215.740	0.233	1000	1809	3237	5500	8.50	12.23	16.16	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	225.952	0.262	974	1757	3251	5500	8.36	12.04	16.19	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	227.059	0.248	904	1724	3340	5500	7.92	11.91	16.37	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	266.425	0.187	907	1440	2414	5500	7.95	10.63	13.76	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	266.861	0.172	850	1385	1726	5500	7.58	10.49	11.92	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	274.090	0.128	743	1233	3140	5500	6.85	9.77	15.95	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	274.441	0.112	767	1274	2991	5500	7.02	9.98	15.62	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	274.762	0.127	773	1317	3065	5500	7.06	10.19	15.78	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	320.632	0.226	1042	1717	2911	5500	8.76	11.89	15.38	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	321.898	0.219	1028	1761	3109	5500	8.67	12.05	15.88	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	325.984	0.225	1145	1785	3232	5500	9.32	12.14	16.15	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	342.235	0.246	1117	1830	3220	5500	9.17	12.31	16.11	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	343.452	0.249	1033	1798	3337	5500	8.69	12.19	16.37	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	365.724	0.151	1082	1944	2915	5500	8.98	12.71	15.36	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	367.125	0.160	1010	1807	3231	5500	8.57	12.23	16.15	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	370.334	0.209	977	1908	2624	5500	8.38	12.58	14.69	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	371.566	0.212	933	1863	3315	5500	8.10	12.43	16.32	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	374.864	0.198	1038	1723	3233	5500	8.73	11.91	16.15	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	376.086	0.198	973	1701	3269	5500	8.35	11.83	16.23	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	387.976	0.260	1023	1879	2456	5500	8.64	12.48	14.20	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	404.950	0.227	941	1740	2907	5500	8.15	11.98	15.42	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	406.435	0.204	1006	1849	3104	5500	8.52	12.38	15.87	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	430.958	0.135	968	1686	2238	5500	8.32	11.75	13.43	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	432.005	0.136	1021	1772	2728	5500	8.63	12.09	14.96	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	436.403	0.239	980	1789	2385	5500	8.39	12.15	14.03	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	438.690	0.208	959	1721	2807	5500	8.26	11.90	15.15	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	439.956	0.211	946	1702	3153	5500	8.19	11.82	15.98	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	489.095	0.183	910	1629	2374	5500	7.97	11.55	14.05	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	491.130	0.220	876	1801	2720	5500	7.75	12.20	14.94	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	492.817	0.225	802	1747	3177	5500	7.26	12.00	16.03	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	494.500	0.241	1059	1798	3005	5500	8.85	12.19	15.65	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	495.799	0.203	1030	1784	3002	5500	8.68	12.14	15.64	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	497.433	0.262	951	1791	3150	5500	8.22	12.17	15.97	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	498.583	0.245	866	1719	3252	5500	7.69	11.90	16.19	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	503.519	0.343	1046	1602	2955	5500	8.77	11.44	15.52	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	505.018	0.267	1096	1598	3315	5500	9.05	11.42	16.32	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	519.460	0.243	1063	1702	3219	5500	8.87	11.83	16.12	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	520.911	0.219	1107	1684	3275	5500	9.11	11.76	16.24	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	528.850	0.236	1047	1837	3200	5500	8.75	12.29	16.02	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	530.130	0.204	1027	1825	3293	5500	8.67	12.29	16.28	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	562.324	0.187	1098	1768	3318	5500	9.07	12.08	16.33	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	563.503	0.175	1047	1822	3257	5500	8.78	12.28	16.20	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	571.890	0.154	876	1831	3181	5500	7.75	12.31	16.03	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	572.840	0.218	1005	1864	3146	5500	8.53	12.43	15.95	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	574.222	0.219	1002	1821	3304	5500	8.52	12.28	16.30	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	590.929	0.217	1048	1660	3278	5500	8.78	11.67	16.25	archi-phon-2006-HDK-2-stops	Auto
HDK	a	á	592.259	0.194	1085	1688	3324	5500	9.00	11.78	16.34	archi-phon-2006-HDK-2-stops	Auto
