vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename
a	a	33.118	0.146	828	1844	3331	5500	7.43	12.31	16.29	archi-phon-2006-PSX-1-vowels
a	a	34.777	0.076	639	1833	2956	5500	5.77	12.18	15.36	archi-phon-2006-PSX-1-vowels
a	à	59.967	0.111	584	2113	2937	5500	5.65	13.24	15.49	archi-phon-2006-PSX-1-vowels
a	à	61.627	0.091	625	2079	2741	5500	5.95	13.15	15.02	archi-phon-2006-PSX-1-vowels
a	á	109.389	0.090	831	1961	2903	5500	7.45	12.75	15.41	archi-phon-2006-PSX-1-vowels
a	á	112.700	0.089	920	1771	2535	5500	8.03	12.09	14.41	archi-phon-2006-PSX-1-vowels
a	á	114.159	0.129	884	1814	2921	5500	7.80	12.24	15.38	archi-phon-2006-PSX-1-vowels
a	á	114.868	0.073	896	1773	2938	5500	7.87	12.10	15.49	archi-phon-2006-PSX-1-vowels
a	a	121.376	0.165	738	1574	2877	5500	6.81	11.32	15.35	archi-phon-2006-PSX-1-vowels
a	á	121.631	0.232	819	1700	2609	5500	7.38	11.82	14.62	archi-phon-2006-PSX-1-vowels
a	a	122.495	0.105	765	1674	2903	5500	7.01	11.72	15.41	archi-phon-2006-PSX-1-vowels
a	á	122.658	0.179	846	1739	2908	5500	7.54	11.97	15.42	archi-phon-2006-PSX-1-vowels
a	aː	128.471	0.293	821	1867	2551	5500	7.38	12.44	14.50	archi-phon-2006-PSX-1-vowels
a	a	129.365	0.158	805	1814	2881	5500	7.28	12.25	15.36	archi-phon-2006-PSX-1-vowels
a	á	138.626	0.286	832	1791	2806	5500	7.46	12.17	15.16	archi-phon-2006-PSX-1-vowels
a	á	139.936	0.164	784	1857	2926	5500	7.13	12.41	15.46	archi-phon-2006-PSX-1-vowels
a	á	143.818	0.168	852	1796	2821	5500	7.60	12.18	15.22	archi-phon-2006-PSX-1-vowels
a	á	145.149	0.096	764	1967	2874	5500	7.00	12.78	15.34	archi-phon-2006-PSX-1-vowels
a	áː	169.966	0.297	836	1795	2920	5500	7.49	12.18	15.45	archi-phon-2006-PSX-1-vowels
a	áː	171.261	0.211	824	1773	2997	5500	7.41	12.10	15.63	archi-phon-2006-PSX-1-vowels
a	á	175.736	0.163	830	1523	2882	5500	7.45	11.11	15.36	archi-phon-2006-PSX-1-vowels
a	à	175.937	0.127	800	1840	2854	5500	7.24	12.34	15.29	archi-phon-2006-PSX-1-vowels
a	á	177.035	0.110	699	1392	2712	5500	6.53	10.53	14.95	archi-phon-2006-PSX-1-vowels
a	à	177.182	0.112	776	1660	2794	5500	7.08	11.66	15.15	archi-phon-2006-PSX-1-vowels
a	á	178.491	0.183	747	1777	2802	5500	6.88	12.11	15.16	archi-phon-2006-PSX-1-vowels
a	a	178.821	0.083	814	1883	2648	5500	7.34	12.50	14.76	archi-phon-2006-PSX-1-vowels
a	á	179.446	0.162	801	1935	2888	5500	7.25	12.67	15.38	archi-phon-2006-PSX-1-vowels
a	a	179.753	0.053	822	1915	2944	5500	7.40	12.61	15.51	archi-phon-2006-PSX-1-vowels
a	á	186.379	0.151	898	1697	2829	5500	7.89	11.81	15.22	archi-phon-2006-PSX-1-vowels
