speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
HDK	í	i	0.216	6380	0.033	470	2928	3933	4.70	15.47	17.50	5.790	ímcʼ	archi-phon-2006-HDK-1-vowels	Auto
HDK	ĩ́	i	0.185	6660	0.023	453	2954	3820	4.55	15.53	17.30	7.232	ímcʼ	archi-phon-2006-HDK-1-vowels	Auto
HDK	í	i	0.197	6980	0.043	455	2969	3508	4.57	15.57	16.71	9.710	čʼín	archi-phon-2006-HDK-1-vowels	Auto
HDK	í	i	0.196	6360	0.091	441	2820	3397	4.44	15.22	16.49	10.982	čʼín	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	i	0.108	7080	0.032	511	2737	3714	5.05	15.01	17.11	13.350	ʟʼilí	archi-phon-2006-HDK-1-vowels	Auto
HDK	í	i	0.226	6720	0.009	432	2918	3617	4.37	15.45	16.92	13.539	ʟʼilí	archi-phon-2006-HDK-1-vowels	Auto
HDK	ɪ	ɪ	0.124	6040	0.012	500	2586	3210	4.96	14.63	16.10	14.433	ʟʼilí	archi-phon-2006-HDK-1-vowels	Auto
HDK	í	i	0.193	6880	0.009	428	2941	3705	4.33	15.50	17.09	14.643	ʟʼilí	archi-phon-2006-HDK-1-vowels	Auto
HDK	ú	u	0.185	4650	1.228	367	765	1951	3.77	7.01	12.73	20.310	úrk̄i	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	i	0.157	6360	0.005	416	2936	3632	4.22	15.49	16.95	20.776	úrk̄i	archi-phon-2006-HDK-1-vowels	Auto
HDK	ú	u	0.177	4650	0.184	439	757	2039	4.42	6.95	13.03	21.449	úrk̄i	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	i	0.149	6980	0.006	417	2892	3527	4.22	15.39	16.75	21.888	úrk̄i	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	i	0.119	6560	0.203	420	2760	3311	4.26	15.07	16.31	24.407	hiӀmpʼí	archi-phon-2006-HDK-1-vowels	Auto
HDK	íˤ	i	0.233	6280	0.089	426	2639	3358	4.31	14.76	16.41	24.732	hiӀmpʼí	archi-phon-2006-HDK-1-vowels	Auto
HDK	i	i	0.108	6880	0.070	391	2784	3771	3.99	15.13	17.21	25.683	hiӀmpʼí	archi-phon-2006-HDK-1-vowels	Auto
HDK	íˤ	i	0.235	6600	0.073	421	2782	3380	4.27	15.12	16.46	25.989	hiӀmpʼí	archi-phon-2006-HDK-1-vowels	Auto
HDK	íː	i	0.276	6200	0.008	366	3021	3809	3.76	15.69	17.28	28.369	ī́kʼen	archi-phon-2006-HDK-1-vowels	Auto
HDK	e	e	0.152	5710	0.069	554	2573	3223	5.42	14.59	16.13	28.792	ī́kʼen	archi-phon-2006-HDK-1-vowels	Auto
HDK	íː	i	0.264	6760	0.049	413	2929	3885	4.20	15.47	17.42	29.596	ī́kʼen	archi-phon-2006-HDK-1-vowels	Auto
